20	475
30	839
40	1042
50	1350
60	1729
70	2043
80	2355
90	2894
100	3002
110	3369
120	3938
130	4014
140	4494
150	4871
160	5045
170	5392
180	5715
190	6042
200	6392
210	6790
220	7242
230	7383
240	7792
250	8067
260	8530
270	8861
280	9208
290	10144
300	10292
310	10220
320	10869
330	10964
340	11704
350	11638
360	12007
370	12359
380	12831
390	13141
400	13447
410	13792
420	14188
430	15103
440	15444
450	15896
460	16267
470	16715
480	17008
490	17441
500	17742
